Customer #	Interarrival Time (Min)	Service Time(Min)
158	3.12	2.36
159	4.68	2.89
160	3.24	3.50
161	3.27	1.81
162	3.12	3.07
163	3.94	2.71
164	3.63	3.38
165	5.01	4.40
166	4.11	3.95
167	3.73	2.58
168	3.10	3.56
169	1.82	3.55
170	4.13	2.60
171	3.19	3.37
172	4.21	3.84
173	5.55	2.72
174	3.25	4.17
175	3.36	3.28
176	4.82	2.87
177	6.23	2.59
178	3.53	3.58
179	4.64	3.38
180	5.45	3.25
181	5.19	2.45
182	2.76	4.28
183	3.72	3.24
184	2.37	3.91
185	3.47	2.25
186	4.72	2.88
187	5.30	2.70
188	5.76	2.58
189	3.24	3.24
190	3.22	3.91
191	4.97	2.42
192	5.51	3.31
193	6.85	3.28
194	2.94	2.69
195	3.85	3.91
196	3.54	1.15
197	4.00	3.01
198	4.33	2.50
199	5.79	4.12
200	4.13	2.95
201	4.04	2.29
202	4.65	2.97
203	5.28	3.30
204	2.75	1.83
205	3.52	1.68
206	4.77	3.38
207	4.09	2.47
208	5.46	3.97
209	2.57	2.53
210	4.93	3.31
211	3.53	4.77
212	3.25	2.08
213	3.15	2.02
214	5.10	5.41
215	4.78	4.59
216	3.57	4.37
217	3.41	1.75
218	3.80	3.09
219	5.07	2.44
220	4.98	3.64
221	2.77	4.00
222	3.21	3.37
223	4.34	3.74
224	1.88	3.15
225	2.98	5.34
226	4.94	1.95
227	4.22	3.46
228	4.03	2.95
229	5.34	3.57
230	3.31	1.78
231	2.30	2.12
232	4.99	3.31
233	3.87	3.04
234	1.99	2.97
235	5.11	4.35
236	4.76	2.65
237	3.77	0.75
238	3.34	3.31
239	3.96	4.00
240	4.84	2.88
241	3.68	3.40
242	3.72	4.60
243	3.62	3.09
244	5.58	1.86
245	4.98	4.11
246	3.22	3.28
247	4.04	4.64
248	3.64	5.19
249	4.48	2.93
250	3.34	2.55
251	1.65	3.44
252	2.18	2.18
253	4.80	3.42
254	2.98	2.43
255	1.98	1.30
256	5.47	3.20
257	4.62	3.93
258	3.65	4.28
259	2.99	2.15
260	4.47	1.72
261	3.80	2.12
262	5.10	2.10
263	3.04	3.22
264	5.18	1.33
265	4.10	4.40
266	3.84	2.57
267	4.90	3.57
268	2.68	3.57
269	5.54	2.19
270	4.99	3.34
271	3.75	3.45
272	6.13	3.88
273	2.20	2.94
274	5.01	3.21
275	3.28	2.33
276	4.60	3.71
277	4.09	2.69
278	3.64	3.79
279	6.13	3.40
280	2.06	4.83
281	2.20	4.45
282	4.84	2.28
283	4.16	1.41
284	4.90	3.26
285	3.06	0.66
286	3.67	2.65
287	4.91	2.36
288	3.44	0.64
289	5.27	2.01
290	4.43	5.63
291	4.34	2.57
292	4.31	2.79
293	4.62	2.81
294	4.22	4.10
295	5.61	2.37
296	5.09	2.88
297	4.25	3.12
298	5.17	2.79
299	2.02	2.63
300	3.55	3.21
301	4.69	2.69
302	5.04	3.68
303	3.08	2.57
304	4.41	2.73
305	4.81	2.09
306	4.33	3.63
307	5.11	3.41
308	4.12	2.32
309	2.76	3.59
310	4.61	2.50
311	3.68	4.42
312	2.47	4.10
313	4.42	5.27
314	4.79	1.41
315	5.71	3.97
316	2.87	4.12
317	3.77	5.05
318	4.16	3.14
319	4.49	4.71
320	3.73	3.35
321	4.61	2.22
322	3.62	2.93
323	5.20	3.95
324	3.35	4.98
325	3.70	4.01
326	3.58	3.47
327	3.72	3.20
328	3.41	2.88
329	5.09	4.92
330	2.36	3.52
331	2.68	3.66
332	2.97	1.86
333	3.87	3.72
334	2.49	3.05
335	4.50	1.93
336	2.78	2.66
337	3.01	1.29
338	4.00	3.22
339	3.71	3.17
340	2.13	3.03
341	4.67	3.02
342	2.70	2.70
343	2.83	3.26
344	4.76	1.83
345	1.50	4.23
346	5.62	2.36
347	3.85	4.89
348	4.37	3.51
349	3.15	3.19
350	3.74	3.60
351	4.01	4.66
352	4.12	3.02
353	3.31	3.30
354	3.26	1.56
355	2.45	1.75
356	3.57	3.56
357	5.07	4.48
358	4.24	3.66
359	5.07	0.59
360	4.20	4.27
361	5.40	4.30
362	5.04	3.62
363	3.57	4.22
364	2.77	4.30
365	3.94	1.28
366	4.73	3.33
367	2.73	3.16
368	2.67	1.90
369	4.41	2.40
370	2.17	2.64
371	4.34	4.50
372	3.55	2.95
373	4.39	4.15
374	2.79	3.29
375	3.09	2.70
376	1.89	1.70
377	3.66	3.32
378	3.52	1.33
379	3.55	4.95
380	5.13	4.29
381	1.17	2.04
382	4.85	3.38
383	4.12	4.66
384	2.72	3.92
385	4.65	2.41
386	2.00	2.04
387	2.93	3.11
388	3.91	2.66
389	4.49	3.83
390	5.21	3.03
391	4.37	3.15
392	4.17	3.71
393	4.23	5.52
394	4.46	3.70
395	2.47	3.29
396	3.88	3.02
397	5.14	4.66
398	4.40	3.03
399	2.99	2.81
400	5.74	2.35
401	4.60	2.26
402	3.33	4.07
403	4.08	3.57
404	4.12	4.15
405	2.39	3.33
406	4.02	1.96
407	3.28	4.47
408	4.26	4.20
409	1.65	4.09
410	3.65	2.88
411	5.34	5.62
412	4.19	3.18
413	3.46	2.20
414	6.54	2.79
415	4.06	2.94
416	5.12	2.35
417	3.11	3.26
418	3.84	2.59
419	5.55	3.83
420	2.64	3.56
421	3.12	2.96
422	5.10	1.70
423	3.17	2.61
424	4.59	3.04
425	3.32	3.81
426	3.92	2.12
427	5.60	3.75
428	3.37	1.32
429	3.98	4.39
430	4.90	2.82
431	3.09	3.11
432	4.05	2.03
433	4.75	2.40
434	2.95	4.81
435	5.84	3.16
436	1.26	2.38
437	3.38	2.93
438	2.41	1.26
439	2.05	5.24
440	6.85	3.54
441	4.44	1.77
442	4.80	3.09
443	3.15	2.19
444	3.91	1.05
445	6.56	3.36
446	3.69	2.29
447	4.68	2.97
448	4.65	3.62
449	4.24	4.43
450	4.29	1.83
451	3.15	3.35
452	2.92	3.06
453	5.21	2.63
454	5.25	2.40
455	2.42	3.65
456	2.64	2.55
457	2.35	1.57
458	4.00	3.01
459	2.81	3.69
460	6.07	2.66
461	2.86	4.13
462	3.79	3.06
463	5.37	3.21
464	4.38	3.00
465	5.42	4.63
466	3.86	3.18
467	4.21	3.16
468	3.73	1.60
469	4.00	2.99
470	3.52	3.38
471	6.27	1.21
472	4.70	2.87
473	2.87	3.09
474	5.26	1.80
475	3.89	3.00
476	3.08	2.99
477	2.79	1.80
478	2.18	3.40
479	3.80	2.01
480	3.83	3.90
481	4.06	3.57
482	3.77	1.10
483	2.94	4.37
484	3.45	2.95
485	3.57	3.40
486	3.31	2.76
487	4.18	3.60
488	5.00	3.82
489	4.88	2.22
490	2.51	1.90
491	4.58	3.57
492	5.14	2.52
493	4.30	2.77
494	4.13	3.67
495	4.14	2.15
496	4.68	1.78
497	4.15	1.85
498	3.30	1.74
499	2.99	2.52
500	4.27	2.32
